margPOP,n,landing,coverage
BDG,31,0,1
BRG,420,42295,0.997619047619048
CRS,73,41576,0.931506849315068
ERK,533,406514,0.954971857410882
MNT,249,0,1
MRO,201,0,1
OSF,65,0,1
HKL,128,0,1
NET,24,0,1
TWL,1420,490385,0.97887323943662
1978,124,1334,0.991935483870968
1979,102,61613,0.990196078431373
1980,271,13486,0.988929889298893
1981,237,1233,1
1982,249,261096,0.967871485943775
1983,312,96145,0.958333333333333
1984,277,55478,0.985559566787004
Q1,277,70664,0.985559566787004
Q2,441,48703,0.986394557823129
Q3,534,342204,0.966292134831461
Q4,320,28814,0.99375
