margRDBD,n,landing,coverage
BDG,9,0,1
BRG,326,58633,0.978527607361963
CRS,50,25892,0.9
ERK,323,273668,0.925696594427245
MNT,108,0,1
MRO,138,7743,0.992753623188406
OSF,29,0,1
HKL,110,7743,0.990909090909091
NET,6,0,1
TWL,867,358193,0.958477508650519
1978,124,19636,0.951612903225806
1979,102,15938,0.96078431372549
1980,271,48975,0.970479704797048
1981,237,264477,0.957805907172996
1982,249,16910,0.963855421686747
Q1,162,133253,0.969135802469136
Q2,289,61385,0.968858131487889
Q3,340,151536,0.947058823529412
Q4,192,19762,0.973958333333333
