margGBLC,n,landing,coverage
BRG,6,0,1
MNT,88,0,1
MRO,64,15254,0.96875
OSF,52,0,1
HKL,1,0,1
NET,8,0,1
TWL,201,15254,0.990049751243781
1978,57,0,1
1980,61,4068,1
1981,42,8019,0.976190476190476
1982,50,3167,0.98
Q1,43,3167,0.976744186046512
Q2,73,0,1
Q3,54,0,1
Q4,40,12087,0.975
