margGBLC,n,landing,coverage
BRG,6,0,1
MNT,88,0,0.568181818181818
MRO,64,15254,0.921875
OSF,52,0,0.826923076923077
HKL,1,0,1
NET,8,0,1
TWL,201,15254,0.741293532338308
1978,57,0,0.701754385964912
1980,61,4068,0.836065573770492
1981,42,8019,0.976190476190476
1982,50,3167,0.52
Q1,43,3167,0.674418604651163
Q2,73,0,0.534246575342466
Q3,54,0,0.962962962962963
Q4,40,12087,0.95
