margTIGR,n,landing,coverage
BDG,9,2766,0.888888888888889
BRG,326,0,0.996932515337423
CRS,50,0,0.9
ERK,323,0,1
MNT,108,0,0.861111111111111
MRO,138,0,0.681159420289855
OSF,29,0,1
HKL,110,0,0.690909090909091
NET,6,0,1
TWL,867,2766,0.963091118800461
1978,124,0,0.991935483870968
1979,102,0,0.950980392156863
1980,271,0,0.904059040590406
1981,237,2766,0.919831223628692
1982,249,0,0.939759036144578
Q1,162,0,0.95679012345679
Q2,289,0,0.896193771626298
Q3,340,0,0.979411764705882
Q4,192,2766,0.885416666666667
