margOLVE,n,landing,coverage
BRG,6,0,1
MNT,88,20334,0.818181818181818
MRO,64,0,0.8125
OSF,52,0,0.0576923076923077
HKL,1,0,1
NET,8,17170,0.5
TWL,201,3164,0.63681592039801
1978,57,17170,0.43859649122807
1980,61,0,0.60655737704918
1981,42,0,0.833333333333333
1982,50,3164,0.72
Q1,43,0,0.837209302325581
Q2,73,17170,0.684931506849315
Q3,54,0,0.425925925925926
Q4,40,3164,0.6
