"marginalYMTH","n","landing","coverage"
"BDG",9,0,1
"BRG",326,1535,0.996932515337423
"CRS",50,0,0.98
"ERK",323,0,0.885448916408669
"MNT",108,0,0.981481481481482
"MRO",138,0,0.927536231884058
"OSF",29,0,0.96551724137931
"HKL",110,0,0.909090909090909
"NET",6,0,0.833333333333333
"TWL",867,1535,0.952710495963091
"1978",124,0,0.951612903225806
"1979",102,1535,0.990196078431373
"1980",271,0,0.974169741697417
"1981",237,0,0.848101265822785
"1982",249,0,0.991967871485944
"Q1",162,0,0.925925925925926
"Q2",289,0,0.875432525951557
"Q3",340,0,0.997058823529412
"Q4",192,1535,0.984375
