"marginalYMTH","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,1535,0.211656441717791
"CRS",50,0,0.34
"ERK",323,0,0.402476780185758
"MNT",108,0,0.0277777777777778
"MRO",138,0,0.5
"OSF",29,0,0.310344827586207
"HKL",110,0,0.5
"NET",6,0,0
"TWL",867,1535,0.283737024221453
"1978",124,0,0.209677419354839
"1979",102,1535,0.274509803921569
"1980",271,0,0.350553505535055
"1981",237,0,0.341772151898734
"1982",249,0,0.285140562248996
"Q1",162,0,0.339506172839506
"Q2",289,0,0.26643598615917
"Q3",340,0,0.358823529411765
"Q4",192,1535,0.244791666666667
