"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.888888888888889
"BRG",326,0,0.996932515337423
"CRS",50,0,1
"ERK",323,0,1
"MNT",108,0,0.861111111111111
"MRO",138,0,0.985507246376812
"OSF",29,0,0.862068965517241
"HKL",110,0,1
"NET",6,0,1
"TWL",867,2766,0.973471741637832
"1978",124,0,1
"1979",102,0,1
"1980",271,0,0.944649446494465
"1981",237,2766,0.987341772151899
"1982",249,0,0.979919678714859
"Q1",162,0,0.95679012345679
"Q2",289,0,1
"Q3",340,0,0.955882352941177
"Q4",192,2766,0.994791666666667
