"marginalGBLC","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,1
"CRS",50,0,1
"ERK",323,0,1
"MNT",108,0,1
"MRO",138,37006,0.956521739130435
"OSF",29,0,0.862068965517241
"HKL",110,37006,0.945454545454545
"NET",6,0,1
"TWL",867,0,0.995386389850058
"1978",124,0,1
"1979",102,372,0.980392156862745
"1980",271,1328,0.992619926199262
"1981",237,0,1
"1982",249,35306,0.975903614457831
"Q1",162,5688,0.962962962962963
"Q2",289,58,0.996539792387543
"Q3",340,30556,0.997058823529412
"Q4",192,704,0.989583333333333
