species,mad
RDBD,3.73265694722487e-05
GBLC,3.88524297298857e-05
GSRK,3.96248165394495e-05
BLGL,4.05364099945374e-05
ARRA,4.06450168891766e-05
SNOS,4.17004994901849e-05
SBLY,4.18530267525574e-05
DBRK,4.29485985890007e-05
TIGR,4.6210474299356e-05
STRK,5.12654447927431e-05
BRWN,5.20242589497648e-05
OLVE,5.37611260746587e-05
BLUR,5.64971158400948e-05
GSPT,5.72289574536044e-05
BANK,6.2534185998343e-05
SPKL,6.39463908641333e-05
WDOW,6.50012932439289e-05
VRML,6.50864845240352e-05
CLPR,6.8181385286857e-05
CWCD,6.89604245451652e-05
CNRY,7.12232626848389e-05
PNKR,7.28743547899917e-05
KLPG,7.81654497953313e-05
FLAG,8.05462421926497e-05
BCAC,9.22670515530197e-05
YTRK,9.43340894378974e-05
