"marginalBRNZ","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,0,0.211656441717791
"CRS",50,0,0.34
"ERK",323,0,0.173374613003096
"MNT",108,0,0.25
"MRO",138,766,0.217391304347826
"OSF",29,0,0.344827586206897
"HKL",110,766,0.127272727272727
"NET",6,0,0.5
"TWL",867,0,0.230680507497116
"1978",124,0,0.346774193548387
"1979",102,766,0.205882352941176
"1980",271,0,0.188191881918819
"1981",237,0,0.126582278481013
"1982",249,0,0.289156626506024
"Q1",162,0,0.345679012345679
"Q2",289,0,0.107266435986159
"Q3",340,766,0.15
"Q4",192,0,0.411458333333333
