margREYE,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.877300613496933
CRS,50,0,0.98
ERK,323,0,0.987616099071207
MNT,108,0,0.601851851851852
MRO,138,0,0.768115942028985
OSF,29,0,0.827586206896552
HKL,110,0,0.909090909090909
NET,6,0,0
TWL,867,0,0.874279123414072
1978,124,0,0.967741935483871
1979,102,0,0.990196078431373
1980,271,0,0.878228782287823
1981,237,0,0.80168776371308
1982,249,0,0.839357429718876
Q1,162,0,0.938271604938272
Q2,289,0,0.868512110726644
Q3,340,0,0.876470588235294
Q4,192,0,0.817708333333333
