"marginalBRNZ","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.0889570552147239
"CRS",50,0,0.52
"ERK",323,0,0.179566563467492
"MNT",108,0,0.509259259259259
"MRO",138,766,0.376811594202899
"OSF",29,0,0.241379310344828
"HKL",110,766,0.290909090909091
"NET",6,0,0.333333333333333
"TWL",867,0,0.223760092272203
"1978",124,0,0.266129032258065
"1979",102,766,0.274509803921569
"1980",271,0,0.247232472324723
"1981",237,0,0.19831223628692
"1982",249,0,0.21285140562249
"Q1",162,0,0.314814814814815
"Q2",289,0,0.217993079584775
"Q3",340,766,0.255882352941176
"Q4",192,0,0.140625
