"marginalBRNZ","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,0,0.996932515337423
"CRS",50,0,0.94
"ERK",323,0,0.941176470588235
"MNT",108,0,1
"MRO",138,766,0.971014492753623
"OSF",29,0,1
"HKL",110,766,0.954545454545455
"NET",6,0,1
"TWL",867,0,0.973471741637832
"1978",124,0,0.911290322580645
"1979",102,766,0.990196078431373
"1980",271,0,0.992619926199262
"1981",237,0,0.987341772151899
"1982",249,0,0.955823293172691
"Q1",162,0,0.925925925925926
"Q2",289,0,0.958477508650519
"Q3",340,766,0.991176470588235
"Q4",192,0,0.994791666666667
