"marginalCLPR","n","landing","coverage"
"BDG",9,160601,0.666666666666667
"BRG",326,5460561,0.48159509202454
"CRS",50,18822,0.98
"ERK",323,1278213,0.882352941176471
"MNT",108,1573782,0.601851851851852
"MRO",138,841860,0.753623188405797
"OSF",29,837157,0.586206896551724
"HKL",110,597138,0.8
"NET",6,0,1
"TWL",867,9573858,0.679354094579008
"1978",124,1172492,0.637096774193548
"1979",102,2327247,0.558823529411765
"1980",271,2560887,0.678966789667897
"1981",237,2252765,0.738396624472574
"1982",249,1857605,0.755020080321285
"Q1",162,2134234,0.679012345679012
"Q2",289,2254890,0.757785467128028
"Q3",340,3183438,0.682352941176471
"Q4",192,2598434,0.635416666666667
