margCLPR,n,landing,coverage
BDG,31,423082,0.741935483870968
BRG,420,6588999,0.514285714285714
CRS,73,19896,0.986301369863014
ERK,533,1730212,0.874296435272045
MNT,249,2768551,0.646586345381526
MRO,201,1135957,0.711442786069652
OSF,65,2305881,0.538461538461538
HKL,128,700120,0.796875
NET,24,345879,0.833333333333333
TWL,1420,13926579,0.7
1978,124,1172492,0.653225806451613
1979,102,2327247,0.57843137254902
1980,271,2560887,0.671586715867159
1981,237,2252765,0.751054852320675
1982,249,1857605,0.755020080321285
1983,312,1939442,0.762820512820513
1984,277,2862140,0.685920577617328
Q1,277,2824177,0.750902527075812
Q2,441,2882652,0.764172335600907
Q3,534,4930714,0.687265917602996
Q4,320,4335035,0.6375
