margCLPR,n,landing,coverage
BDG,31,423082,0.935483870967742
BRG,420,6588999,0.923809523809524
CRS,73,19896,1
ERK,533,1730212,0.98874296435272
MNT,249,2768551,0.93574297188755
MRO,201,1135957,0.965174129353234
OSF,65,2305881,0.876923076923077
HKL,128,700120,0.9765625
NET,24,345879,0.958333333333333
TWL,1420,13926579,0.952816901408451
1978,124,1172492,0.991935483870968
1979,102,2327247,0.872549019607843
1980,271,2560887,0.933579335793358
1981,237,2252765,0.970464135021097
1982,249,1857605,0.983935742971888
1983,312,1939442,0.983974358974359
1984,277,2862140,0.916967509025271
Q1,277,2824177,0.989169675090253
Q2,441,2882652,0.970521541950113
Q3,534,4930714,0.951310861423221
Q4,320,4335035,0.909375
