"marginalPOP","n","landing","coverage"
"BDG",27,0,0.666666666666667
"BRG",12,0,0.5
"CRS",3,0,1
"ERK",55,0,0.2
"MNT",11,0,0.272727272727273
"MRO",1,0,1
"OSF",20,0,0.6
"TWL",129,0,0.418604651162791
"1981",37,0,0.864864864864865
"1982",92,0,0.239130434782609
"Q1",33,0,0.363636363636364
"Q2",13,0,0
"Q3",37,0,0.297297297297297
"Q4",46,0,0.673913043478261
