"marginalBLCK","n","landing","coverage"
"BDG",27,0,0.740740740740741
"BRG",12,0,1
"CRS",3,0,1
"ERK",55,0,0.709090909090909
"MNT",11,0,0.909090909090909
"MRO",1,0,1
"OSF",20,0,0.45
"TWL",129,0,0.728682170542636
"1981",37,0,0.972972972972973
"1982",92,0,0.630434782608696
"Q1",33,0,0.727272727272727
"Q2",13,0,1
"Q3",37,0,0.351351351351351
"Q4",46,0,0.956521739130435
