"marginalOLVE","n","landing","coverage"
"BRG",6,0,1
"MNT",88,20334,0.954545454545455
"MRO",64,0,1
"OSF",52,0,1
"HKL",1,0,1
"NET",8,17170,0.5
"TWL",201,3164,1
"1978",57,17170,0.929824561403509
"1980",61,0,1
"1981",42,0,1
"1982",50,3164,1
"Q1",43,0,1
"Q2",73,17170,0.945205479452055
"Q3",54,0,1
"Q4",40,3164,1
