margPNKR,n,landing,coverage
BRG,6,0,0.5
MNT,88,745,0.329545454545455
MRO,64,0,0
OSF,52,0,0.5
HKL,1,0,0
NET,8,0,0.75
TWL,201,745,0.258706467661692
1978,57,745,0.456140350877193
1980,61,0,0.262295081967213
1981,42,0,0.0952380952380952
1982,50,0,0.24
Q1,43,745,0.0697674418604651
Q2,73,0,0.383561643835616
Q3,54,0,0.240740740740741
Q4,40,0,0.35
