margYMTH,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,1535,0.303680981595092
CRS,50,0,0.46
ERK,323,0,0.26625386996904
MNT,108,0,0.240740740740741
MRO,138,0,0.449275362318841
OSF,29,0,0.482758620689655
HKL,110,0,0.472727272727273
NET,6,0,0.333333333333333
TWL,867,1535,0.299884659746251
1978,124,0,0.306451612903226
1979,102,1535,0.294117647058824
1980,271,0,0.328413284132841
1981,237,0,0.308016877637131
1982,249,0,0.337349397590361
Q1,162,0,0.358024691358025
Q2,289,0,0.190311418685121
Q3,340,0,0.344117647058824
Q4,192,1535,0.4375
