margPOP,n,landing,coverage
BDG,27,0,0.925925925925926
BRG,12,0,0.5
CRS,3,0,1
ERK,55,0,0.381818181818182
MNT,11,0,0.909090909090909
MRO,1,0,1
OSF,20,0,0.1
TWL,129,0,0.527131782945736
1981,37,0,0.567567567567568
1982,92,0,0.510869565217391
Q1,33,0,0.606060606060606
Q2,13,0,0.307692307692308
Q3,37,0,0.486486486486487
Q4,46,0,0.565217391304348
