margDBRK,n,landing,coverage
BRG,6,0,1
MNT,88,12714,0.977272727272727
MRO,64,0,1
OSF,52,24474,0.942307692307692
HKL,1,0,1
NET,8,0,1
TWL,201,37188,0.975124378109453
1978,57,5723,0.982456140350877
1980,61,24474,0.950819672131147
1981,42,6991,0.976190476190476
1982,50,0,1
Q1,43,0,1
Q2,73,0,1
Q3,54,5723,0.981481481481482
Q4,40,31465,0.9
