margDBRK,n,landing,coverage
BRG,6,0,0.333333333333333
MNT,88,12714,0.181818181818182
MRO,64,0,0.265625
OSF,52,24474,0.173076923076923
HKL,1,0,0
NET,8,0,0
TWL,201,37188,0.218905472636816
1978,57,5723,0.263157894736842
1980,61,24474,0.245901639344262
1981,42,6991,0.261904761904762
1982,50,0,0.06
Q1,43,0,0.0465116279069767
Q2,73,0,0.246575342465753
Q3,54,5723,0.222222222222222
Q4,40,31465,0.3
