margRDBD,n,landing,coverage
BDG,9,0,1
BRG,326,58633,0.987730061349693
CRS,50,25892,0.9
ERK,323,273668,0.947368421052632
MNT,108,0,1
MRO,138,7743,1
OSF,29,0,1
HKL,110,7743,1
NET,6,0,1
TWL,867,358193,0.970011534025375
1978,124,19636,0.967741935483871
1979,102,15938,1
1980,271,48975,0.970479704797048
1981,237,264477,0.957805907172996
1982,249,16910,0.983935742971888
Q1,162,133253,0.975308641975309
Q2,289,61385,0.986159169550173
Q3,340,151536,0.955882352941177
Q4,192,19762,0.984375
