"marginalRSTN","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,1338,0.607361963190184
"CRS",50,157,0.2
"ERK",323,291,0.430340557275542
"MNT",108,0,0.824074074074074
"MRO",138,0,0.579710144927536
"OSF",29,0,0.758620689655172
"HKL",110,0,0.609090909090909
"NET",6,0,0.5
"TWL",867,1786,0.544405997693195
"1978",124,47,0.467741935483871
"1979",102,244,0.5
"1980",271,0,0.535055350553506
"1981",237,0,0.940928270042194
"1982",249,1495,0.261044176706827
"Q1",162,0,0.654320987654321
"Q2",289,1582,0.546712802768166
"Q3",340,204,0.458823529411765
"Q4",192,0,0.635416666666667
