margGRAS,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,0.131901840490798
CRS,50,0,0.3
ERK,323,1251,0.151702786377709
MNT,108,0,0.0648148148148148
MRO,138,0,0.311594202898551
OSF,29,0,0.206896551724138
HKL,110,0,0.236363636363636
NET,6,0,0.166666666666667
TWL,867,1251,0.162629757785467
1978,124,0,0.0483870967741935
1979,102,0,0.686274509803922
1980,271,0,0.195571955719557
1981,237,0,0.0253164556962025
1982,249,1251,0.132530120481928
Q1,162,0,0.141975308641975
Q2,289,1251,0.262975778546713
Q3,340,0,0.123529411764706
Q4,192,0,0.140625
