margDBRK,n,landing,coverage
BDG,9,0,1
BRG,326,531408,0.96319018404908
CRS,50,377839,0.88
ERK,323,651570,0.882352941176471
MNT,108,7679,1
MRO,138,2352,1
OSF,29,5802,1
HKL,110,3589,0.990909090909091
NET,6,0,1
TWL,867,1573061,0.936562860438293
1978,124,78910,0.943548387096774
1979,102,233217,0.950980392156863
1980,271,322036,0.96309963099631
1981,237,619303,0.949367088607595
1982,249,323184,0.911646586345382
Q1,162,549140,0.962962962962963
Q2,289,386369,0.927335640138408
Q3,340,290371,0.958823529411765
Q4,192,350770,0.921875
