margFLAG,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.858895705521472
CRS,50,1522,0.74
ERK,323,293,0.693498452012384
MNT,108,0,0.87962962962963
MRO,138,2013,0.920289855072464
OSF,29,0,0.827586206896552
HKL,110,1682,0.963636363636364
NET,6,0,1
TWL,867,2146,0.788927335640138
1978,124,0,0.854838709677419
1979,102,0,0.901960784313726
1980,271,331,0.977859778597786
1981,237,1742,0.611814345991561
1982,249,1755,0.755020080321285
Q1,162,526,0.987654320987654
Q2,289,1522,0.612456747404844
Q3,340,599,0.811764705882353
Q4,192,1181,0.953125
