margSLGR,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.365030674846626
CRS,50,0,0.4
ERK,323,1894,0.130030959752322
MNT,108,0,0.342592592592593
MRO,138,0,0.804347826086957
OSF,29,0,0.206896551724138
HKL,110,0,0.809090909090909
NET,6,0,0.833333333333333
TWL,867,1894,0.279123414071511
1978,124,0,0.153225806451613
1979,102,1894,0.53921568627451
1980,271,0,0.571955719557196
1981,237,0,0.210970464135021
1982,249,0,0.228915662650602
Q1,162,1894,0.339506172839506
Q2,289,0,0.342560553633218
Q3,340,0,0.347058823529412
Q4,192,0,0.333333333333333
