margBRNZ,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,1
CRS,50,0,0.8
ERK,323,0,0.96594427244582
MNT,108,0,0.888888888888889
MRO,138,766,0.978260869565217
OSF,29,0,0.931034482758621
HKL,110,766,0.990909090909091
NET,6,0,1
TWL,867,0,0.952710495963091
1978,124,0,0.919354838709677
1979,102,766,0.970588235294118
1980,271,0,0.966789667896679
1981,237,0,0.978902953586498
1982,249,0,0.939759036144578
Q1,162,0,0.981481481481482
Q2,289,0,0.878892733564014
Q3,340,766,0.994117647058824
Q4,192,0,0.989583333333333
