margBRNZ,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.352760736196319
CRS,50,0,0.1
ERK,323,0,0.439628482972136
MNT,108,0,0.388888888888889
MRO,138,766,0.268115942028986
OSF,29,0,0.379310344827586
HKL,110,766,0.381818181818182
NET,6,0,0
TWL,867,0,0.358708189158016
1978,124,0,0.508064516129032
1979,102,766,0.588235294117647
1980,271,0,0.350553505535055
1981,237,0,0.168776371308017
1982,249,0,0.381526104417671
Q1,162,0,0.333333333333333
Q2,289,0,0.363321799307958
Q3,340,766,0.45
Q4,192,0,0.213541666666667
