"marginalKLPG","n","landing","coverage"
"BRG",6,0,1
"MNT",88,337,0.625
"MRO",64,0,0.4375
"OSF",52,0,0.442307692307692
"HKL",1,0,0
"NET",8,337,0.875
"TWL",201,0,0.522388059701492
"1978",57,337,0.771929824561403
"1980",61,0,0.360655737704918
"1981",42,0,0.785714285714286
"1982",50,0,0.26
"Q1",43,0,0.697674418604651
"Q2",73,337,0.465753424657534
"Q3",54,0,0.444444444444444
"Q4",40,0,0.6
