margSNOS,n,landing,coverage
BDG,31,35529,1
BRG,420,322679,0.961904761904762
CRS,73,156432,0.917808219178082
ERK,533,82829,0.983114446529081
MNT,249,149543,0.971887550200803
MRO,201,192176,0.990049751243781
OSF,65,202267,0.923076923076923
HKL,128,0,1
NET,24,0,1
TWL,1420,1141455,0.96830985915493
1978,124,3677,0.983870967741935
1979,102,19016,1
1980,271,223827,0.970479704797048
1981,237,308301,0.953586497890295
1982,249,208910,0.967871485943775
1983,312,245880,0.961538461538462
1984,277,131844,0.985559566787004
Q1,277,343608,0.953068592057762
Q2,441,238329,0.977324263038549
Q3,534,434823,0.97752808988764
Q4,320,124695,0.96875
