margSNOS,n,landing,coverage
BDG,31,35529,0.774193548387097
BRG,420,322679,0.857142857142857
CRS,73,156432,0.794520547945205
ERK,533,82829,0.898686679174484
MNT,249,149543,0.811244979919679
MRO,201,192176,0.860696517412935
OSF,65,202267,0.876923076923077
HKL,128,0,1
NET,24,0,1
TWL,1420,1141455,0.845774647887324
1978,124,3677,0.943548387096774
1979,102,19016,0.980392156862745
1980,271,223827,0.922509225092251
1981,237,308301,0.856540084388186
1982,249,208910,0.883534136546185
1983,312,245880,0.807692307692308
1984,277,131844,0.76173285198556
Q1,277,343608,0.826714801444043
Q2,441,238329,0.893424036281179
Q3,534,434823,0.872659176029963
Q4,320,124695,0.825
