"marginalREX","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.294478527607362
"CRS",50,0,0.38
"ERK",323,0,0.287925696594427
"MNT",108,0,0.361111111111111
"MRO",138,0,0.36231884057971
"OSF",29,3731,0.413793103448276
"HKL",110,0,0.336363636363636
"NET",6,0,0
"TWL",867,3731,0.313725490196078
"1978",124,0,0.209677419354839
"1979",102,0,0.254901960784314
"1980",271,0,0.383763837638376
"1981",237,0,0.227848101265823
"1982",249,3731,0.397590361445783
"Q1",162,0,0.12962962962963
"Q2",289,3731,0.0726643598615917
"Q3",340,0,0.505882352941176
"Q4",192,0,0.494791666666667
