"marginalPNKR","n","landing","coverage"
"BRG",6,0,1
"MNT",88,745,0.977272727272727
"MRO",64,0,1
"OSF",52,0,0.980769230769231
"HKL",1,0,1
"NET",8,0,0.875
"TWL",201,745,0.990049751243781
"1978",57,745,0.982456140350877
"1980",61,0,1
"1981",42,0,1
"1982",50,0,0.96
"Q1",43,745,0.930232558139535
"Q2",73,0,1
"Q3",54,0,1
"Q4",40,0,1
