"marginalVRML","n","landing","coverage"
"BDG",9,2300,0.888888888888889
"BRG",326,66054,0.202453987730061
"CRS",50,3415,0.14
"ERK",323,39515,0.421052631578947
"MNT",108,0,0.0833333333333333
"MRO",138,733353,0.507246376811594
"OSF",29,5883,0.482758620689655
"HKL",110,734598,0.536363636363636
"NET",6,0,1
"TWL",867,115922,0.282583621683968
"1978",124,50847,0.508064516129032
"1979",102,61012,0.245098039215686
"1980",271,248223,0.225092250922509
"1981",237,191821,0.206751054852321
"1982",249,298617,0.449799196787149
"Q1",162,319563,0.265432098765432
"Q2",289,165469,0.269896193771626
"Q3",340,243199,0.294117647058824
"Q4",192,122289,0.463541666666667
