"marginalYMTH","n","landing","coverage"
"BDG",9,0,0.222222222222222
"BRG",326,1535,0.530674846625767
"CRS",50,0,0.28
"ERK",323,0,0.294117647058824
"MNT",108,0,0.425925925925926
"MRO",138,0,0.318840579710145
"OSF",29,0,0.620689655172414
"HKL",110,0,0.427272727272727
"NET",6,0,0
"TWL",867,1535,0.397923875432526
"1978",124,0,0.548387096774194
"1979",102,1535,0.392156862745098
"1980",271,0,0.328413284132841
"1981",237,0,0.654008438818565
"1982",249,0,0.160642570281124
"Q1",162,0,0.382716049382716
"Q2",289,0,0.408304498269896
"Q3",340,0,0.438235294117647
"Q4",192,1535,0.328125
