margGSRK,n,landing,coverage
BDG,56,46035,0.892857142857143
BRG,457,255525,0.881838074398249
CRS,82,44950,0.853658536585366
ERK,594,79321,0.898989898989899
MNT,344,36939,0.857558139534884
MRO,266,1761,0.962406015037594
OSF,104,3115,0.971153846153846
HKL,138,2205,0.956521739130435
NET,47,180,0.978723404255319
TWL,1718,465261,0.891152502910361
1978,124,20436,0.82258064516129
1979,102,8874,0.892156862745098
1980,271,224858,0.92619926199262
1981,237,23860,0.936708860759494
1982,249,76650,0.943775100401606
1983,312,40309,0.887820512820513
1984,277,18920,0.906137184115523
1985,331,53739,0.845921450151057
Q1,339,215585,0.935103244837758
Q2,531,114800,0.894538606403013
Q3,645,94043,0.885271317829457
Q4,388,43218,0.891752577319588
