margGSRK,n,landing,coverage
BDG,56,46035,1
BRG,457,255525,0.99562363238512
CRS,82,44950,0.975609756097561
ERK,594,79321,0.973063973063973
MNT,344,36939,0.997093023255814
MRO,266,1761,1
OSF,104,3115,1
HKL,138,2205,1
NET,47,180,1
TWL,1718,465261,0.987776484284051
1978,124,20436,0.991935483870968
1979,102,8874,0.980392156862745
1980,271,224858,0.992619926199262
1981,237,23860,0.9957805907173
1982,249,76650,0.991967871485944
1983,312,40309,0.958333333333333
1984,277,18920,1
1985,331,53739,1
Q1,339,215585,0.988200589970501
Q2,531,114800,0.986817325800377
Q3,645,94043,0.984496124031008
Q4,388,43218,1
