margYMTH,n,landing,coverage
BDG,9,0,1
BRG,326,1535,0.883435582822086
CRS,50,0,0.84
ERK,323,0,0.996904024767802
MNT,108,0,0.981481481481482
MRO,138,0,0.86231884057971
OSF,29,0,0.96551724137931
HKL,110,0,0.818181818181818
NET,6,0,1
TWL,867,1535,0.943483275663206
1978,124,0,0.991935483870968
1979,102,1535,0.941176470588235
1980,271,0,0.977859778597786
1981,237,0,0.822784810126582
1982,249,0,0.943775100401606
Q1,162,0,0.858024691358025
Q2,289,0,0.903114186851211
Q3,340,0,0.976470588235294
Q4,192,1535,0.947916666666667
