margGBLC,n,landing,coverage
BDG,9,0,1
BRG,326,0,1
CRS,50,0,0.98
ERK,323,0,0.835913312693498
MNT,108,0,0.898148148148148
MRO,138,37006,0.717391304347826
OSF,29,0,0.724137931034483
HKL,110,37006,0.663636363636364
NET,6,0,0.833333333333333
TWL,867,0,0.914648212226067
1978,124,0,0.903225806451613
1979,102,372,0.833333333333333
1980,271,1328,0.833948339483395
1981,237,0,0.974683544303797
1982,249,35306,0.8714859437751
Q1,162,5688,0.882716049382716
Q2,289,58,0.934256055363322
Q3,340,30556,0.864705882352941
Q4,192,704,0.854166666666667
