"marginalREDS","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,4464,0.858895705521472
"CRS",50,0,0.66
"ERK",323,4155,0.74922600619195
"MNT",108,0,0.768518518518518
"MRO",138,0,0.920289855072464
"OSF",29,0,0.793103448275862
"HKL",110,0,0.836363636363636
"NET",6,0,1
"TWL",867,8619,0.80161476355248
"1978",124,0,0.854838709677419
"1979",102,0,0.823529411764706
"1980",271,3996,0.85239852398524
"1981",237,468,0.679324894514768
"1982",249,4155,0.847389558232932
"Q1",162,468,0.845679012345679
"Q2",289,7030,0.737024221453287
"Q3",340,0,0.829411764705882
"Q4",192,1121,0.838541666666667
