margOLVE,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,20334,0.778947368421053
MRO,66,0,0.878787878787879
OSF,63,0,0.777777777777778
HKL,1,0,1
NET,8,17170,0.5
TWL,225,3164,0.826666666666667
1978,57,17170,0.736842105263158
1980,61,0,0.852459016393443
1981,42,0,1
1982,50,3164,0.72
1983,18,0,0.722222222222222
1984,6,0,1
Q1,51,0,0.862745098039216
Q2,79,17170,0.822784810126582
Q3,59,0,0.644067796610169
Q4,45,3164,0.977777777777778
