"marginalCBZN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.297546012269939
"CRS",50,0,0.68
"ERK",323,0,0.229102167182663
"MNT",108,0,0.148148148148148
"MRO",138,125,0.22463768115942
"OSF",29,0,0.103448275862069
"HKL",110,125,0.181818181818182
"NET",6,0,0.166666666666667
"TWL",867,0,0.280276816608997
"1978",124,0,0.395161290322581
"1979",102,125,0.176470588235294
"1980",271,0,0.191881918819188
"1981",237,0,0.270042194092827
"1982",249,0,0.325301204819277
"Q1",162,0,0.382716049382716
"Q2",289,125,0.0726643598615917
"Q3",340,0,0.270588235294118
"Q4",192,0,0.463541666666667
