"marginalSWSP","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.386503067484663
"CRS",50,0,0.16
"ERK",323,0,0.321981424148607
"MNT",108,0,0.388888888888889
"MRO",138,0,0.442028985507246
"OSF",29,0,0.241379310344828
"HKL",110,0,0.409090909090909
"NET",6,0,0.166666666666667
"TWL",867,0,0.348327566320646
"1978",124,0,0.0887096774193548
"1979",102,0,0.294117647058824
"1980",271,0,0.553505535055351
"1981",237,0,0.215189873417722
"1982",249,0,0.42570281124498
"Q1",162,0,0.308641975308642
"Q2",289,0,0.249134948096886
"Q3",340,0,0.45
"Q4",192,0,0.380208333333333
