"marginalWDOW","n","landing","coverage"
"BRG",6,1243,0.833333333333333
"MNT",88,209217,0.977272727272727
"MRO",64,375279,0.921875
"OSF",52,373745,0.923076923076923
"HKL",1,0,1
"NET",8,19058,0.875
"TWL",201,940426,0.945273631840796
"1978",57,141361,0.964912280701754
"1980",61,497415,0.901639344262295
"1981",42,285587,0.904761904761905
"1982",50,35121,1
"Q1",43,267685,0.953488372093023
"Q2",73,114674,0.945205479452055
"Q3",54,341514,0.944444444444444
"Q4",40,235611,0.925
