margSWSP,n,landing,coverage
BDG,12,0,1
BRG,401,0,0.860349127182045
CRS,60,0,0.916666666666667
ERK,459,0,0.886710239651416
MNT,163,0,0.932515337423313
MRO,164,0,0.853658536585366
OSF,36,0,0.888888888888889
HKL,124,0,0.806451612903226
NET,14,0,1
TWL,1157,0,0.889369057908384
1978,124,0,1
1979,102,0,0.852941176470588
1980,271,0,0.830258302583026
1981,237,0,0.991561181434599
1982,249,0,0.895582329317269
1983,312,0,0.798076923076923
Q1,228,0,0.960526315789474
Q2,390,0,0.938461538461538
Q3,437,0,0.782608695652174
Q4,240,0,0.9
