"marginalBRWN","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,4315,0.843558282208589
"CRS",50,0,0.92
"ERK",323,1394,0.990712074303406
"MNT",108,0,0.981481481481482
"MRO",138,144491,0.86231884057971
"OSF",29,35728,0.655172413793103
"HKL",110,35728,0.827272727272727
"NET",6,0,1
"TWL",867,150200,0.910034602076125
"1978",124,0,0.959677419354839
"1979",102,0,0.745098039215686
"1980",271,181604,0.856088560885609
"1981",237,2930,0.970464135021097
"1982",249,1394,0.919678714859438
"Q1",162,0,0.851851851851852
"Q2",289,35728,0.816608996539792
"Q3",340,4315,0.961764705882353
"Q4",192,145885,0.963541666666667
