margCMEL,n,landing,coverage
BDG,12,0,0.5
BRG,401,0,0.209476309226933
CRS,60,0,0.25
ERK,459,0,0.433551198257081
MNT,163,0,0.417177914110429
MRO,164,0,0.323170731707317
OSF,36,0,0.166666666666667
HKL,124,0,0.217741935483871
NET,14,0,0.142857142857143
TWL,1157,0,0.347450302506482
1978,124,0,0.637096774193548
1979,102,0,0.186274509803922
1980,271,0,0.0996309963099631
1981,237,0,0.308016877637131
1982,249,0,0.409638554216867
1983,312,0,0.419871794871795
Q1,228,0,0.355263157894737
Q2,390,0,0.243589743589744
Q3,437,0,0.448512585812357
Q4,240,0,0.245833333333333
