"marginalQLBK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,232,0.757668711656442
"CRS",50,0,0.9
"ERK",323,0,0.969040247678019
"MNT",108,0,1
"MRO",138,0,0.876811594202899
"OSF",29,0,0.862068965517241
"HKL",110,0,0.845454545454545
"NET",6,0,1
"TWL",867,232,0.886966551326413
"1978",124,232,0.766129032258065
"1979",102,0,0.931372549019608
"1980",271,0,0.826568265682657
"1981",237,0,1
"1982",249,0,0.8714859437751
"Q1",162,232,0.759259259259259
"Q2",289,0,0.982698961937716
"Q3",340,0,0.791176470588235
"Q4",192,0,1
