"marginalQLBK","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,232,0.101226993865031
"CRS",50,0,0.22
"ERK",323,0,0.226006191950464
"MNT",108,0,0.175925925925926
"MRO",138,0,0.340579710144928
"OSF",29,0,0.172413793103448
"HKL",110,0,0.290909090909091
"NET",6,0,0.166666666666667
"TWL",867,232,0.184544405997693
"1978",124,232,0.395161290322581
"1979",102,0,0.294117647058824
"1980",271,0,0.0738007380073801
"1981",237,0,0.135021097046413
"1982",249,0,0.248995983935743
"Q1",162,232,0.0555555555555556
"Q2",289,0,0.307958477508651
"Q3",340,0,0.158823529411765
"Q4",192,0,0.213541666666667
