margREYE,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.337423312883436
CRS,50,0,0.46
ERK,323,0,0.458204334365325
MNT,108,0,0.231481481481481
MRO,138,0,0.376811594202899
OSF,29,0,0.0689655172413793
HKL,110,0,0.372727272727273
NET,6,0,0.666666666666667
TWL,867,0,0.363321799307958
1978,124,0,0.25
1979,102,0,0.264705882352941
1980,271,0,0.354243542435424
1981,237,0,0.253164556962025
1982,249,0,0.586345381526104
Q1,162,0,0.265432098765432
Q2,289,0,0.283737024221453
Q3,340,0,0.505882352941176
Q4,192,0,0.328125
