margREYE,n,landing,coverage
BDG,31,0,0.387096774193548
BRG,420,0,0.207142857142857
CRS,73,0,0.191780821917808
ERK,533,0,0.112570356472795
MNT,249,0,0.305220883534137
MRO,201,0,0.0895522388059701
OSF,65,0,0.138461538461538
HKL,128,0,0.1875
NET,24,0,0.0416666666666667
TWL,1420,0,0.176760563380282
1978,124,0,0
1979,102,0,0.00980392156862745
1980,271,0,0.247232472324723
1981,237,0,0.350210970464135
1982,249,0,0.0843373493975904
1983,312,0,0.144230769230769
1984,277,0,0.212996389891697
Q1,277,0,0.292418772563177
Q2,441,0,0.0634920634920635
Q3,534,0,0.205992509363296
Q4,320,0,0.178125
