margREYE,n,landing,coverage
BDG,31,0,1
BRG,420,0,0.997619047619048
CRS,73,0,1
ERK,533,0,0.840525328330206
MNT,249,0,0.967871485943775
MRO,201,0,0.810945273631841
OSF,65,0,0.984615384615385
HKL,128,0,0.8515625
NET,24,0,0.458333333333333
TWL,1420,0,0.92887323943662
1978,124,0,0.983870967741935
1979,102,0,0.892156862745098
1980,271,0,0.81549815498155
1981,237,0,0.9957805907173
1982,249,0,1
1983,312,0,0.801282051282051
1984,277,0,0.974729241877256
Q1,277,0,0.992779783393502
Q2,441,0,0.852607709750567
Q3,534,0,0.925093632958802
Q4,320,0,0.91875
