"marginalPNKR","n","landing","coverage"
"BRG",6,0,0.5
"MNT",88,745,0.988636363636364
"MRO",64,0,1
"OSF",52,0,0.826923076923077
"HKL",1,0,1
"NET",8,0,1
"TWL",201,745,0.935323383084577
"1978",57,745,0.982456140350877
"1980",61,0,0.80327868852459
"1981",42,0,1
"1982",50,0,1
"Q1",43,745,0.976744186046512
"Q2",73,0,0.835616438356164
"Q3",54,0,1
"Q4",40,0,1
