"marginalREYE","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.358895705521472
"CRS",50,0,0.02
"ERK",323,0,0.148606811145511
"MNT",108,0,0.509259259259259
"MRO",138,0,0.507246376811594
"OSF",29,0,0.103448275862069
"HKL",110,0,0.427272727272727
"NET",6,0,0.166666666666667
"TWL",867,0,0.284890426758939
"1978",124,0,0.217741935483871
"1979",102,0,0.235294117647059
"1980",271,0,0.453874538745387
"1981",237,0,0.0970464135021097
"1982",249,0,0.393574297188755
"Q1",162,0,0.246913580246914
"Q2",289,0,0.397923875432526
"Q3",340,0,0.288235294117647
"Q4",192,0,0.21875
