"marginalEGLS","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.371165644171779
"CRS",50,0,0.04
"ERK",323,0,0.464396284829721
"MNT",108,1398,0.277777777777778
"MRO",138,0,0.268115942028986
"OSF",29,0,0.137931034482759
"HKL",110,0,0.154545454545455
"NET",6,0,0
"TWL",867,1398,0.377162629757785
"1978",124,0,0.580645161290323
"1979",102,0,0.362745098039216
"1980",271,1398,0.265682656826568
"1981",237,0,0.417721518987342
"1982",249,0,0.257028112449799
"Q1",162,0,0.228395061728395
"Q2",289,0,0.307958477508651
"Q3",340,1398,0.523529411764706
"Q4",192,0,0.208333333333333
