margROSY,n,landing,coverage
BDG,12,0,0.333333333333333
BRG,401,0,0.531172069825436
CRS,60,0,0.466666666666667
ERK,459,0,0.335511982570806
MNT,163,0,0.705521472392638
MRO,164,321,0.445121951219512
OSF,36,0,0.5
HKL,124,321,0.491935483870968
NET,14,0,0.642857142857143
TWL,1157,0,0.462402765773552
1978,124,0,0.629032258064516
1979,102,0,0.343137254901961
1980,271,60,0.439114391143911
1981,237,136,0.594936708860759
1982,249,125,0.518072289156627
1983,312,0,0.330128205128205
Q1,228,125,0.337719298245614
Q2,390,0,0.407692307692308
Q3,437,60,0.631578947368421
Q4,240,136,0.3875
