margREX,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.236196319018405
CRS,50,0,0.58
ERK,323,0,0
MNT,108,0,0.490740740740741
MRO,138,0,0.13768115942029
OSF,29,3731,0.413793103448276
HKL,110,0,0.236363636363636
NET,6,0,0.166666666666667
TWL,867,3731,0.189158016147636
1978,124,0,0.032258064516129
1979,102,0,0.0686274509803922
1980,271,0,0.232472324723247
1981,237,0,0.388185654008439
1982,249,3731,0.100401606425703
Q1,162,0,0.345679012345679
Q2,289,3731,0.0899653979238754
Q3,340,0,0.141176470588235
Q4,192,0,0.317708333333333
