"marginalSHRP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,3698,0.825153374233129
"CRS",50,0,1
"ERK",323,0,0.829721362229102
"MNT",108,0,0.62037037037037
"MRO",138,0,0.666666666666667
"OSF",29,0,0.724137931034483
"HKL",110,0,0.927272727272727
"NET",6,0,0
"TWL",867,3698,0.777393310265283
"1978",124,0,0.798387096774194
"1979",102,3698,0.735294117647059
"1980",271,0,0.715867158671587
"1981",237,0,0.915611814345992
"1982",249,0,0.767068273092369
"Q1",162,0,0.901234567901235
"Q2",289,0,0.85121107266436
"Q3",340,1139,0.917647058823529
"Q4",192,2559,0.375
